Hero,Name,Effect,Effect Value (%),Effect Description,Slot,Rarity,Item Description,Graphic ID
1,Chipped Axe,Self Damage Boost,50,,1,1,"It isn't much, but it'll get the job done.",244
1,Sharpened Axe,Self Damage Boost,125,,1,2,So sharp I can skin dinner with it.,244
1,Well Used Axe,Self Damage Boost,200,,1,3,I've lost count of the number of goblins slaughtered by its razor edge.,245
1,Many-notched Axe,Self Damage Boost,350,,1,4,"This axe has seen a thousand battles, and been victorious in every one.",246
1,Iron Beard Clips,All Champion Damage Boost,10,,2,1,"They're a bit heavy, but they keep my beard in check.",247
1,Steel Beard Clips,All Champion Damage Boost,65,,2,2,"Lighter than your average clips, they let my beard swing furiously when I attack.",247
1,Dark Iron Beard Clips,All Champion Damage Boost,120,,2,3,Crafted from a meteorite that fell near Icewind Dale.,248
1,Gold Beard Clips of the Clan,All Champion Damage Boost,230,,2,4,Ancient family clips found in the depths of the Mithral Hall.,249
1,Frayed Belt,Ability Upgrade,25,,3,1,"It'll hold up your pants, if you don't move around too quickly.",250
1,Faded Leather Belt,Ability Upgrade,87.5,,3,2,"It's seen better days, but it still does the trick.",250
1,Thick Sturdy Belt,Ability Upgrade,150,,3,3,It's quite slimming!,251
1,Golden Hide Belt of the Ancestors,Ability Upgrade,275,,3,4,An ancient family belt recovered from a Battlehammer heirloom cache.,252
1,Plain Iron Ring,Ability Upgrade,25,,4,1,A simple ring with little magical power.,256
1,Shiny Steel Ring,Ability Upgrade,87.5,,4,2,A shiny ring that seems to radiate mild heat on its own.,256
1,Dark Iron Ring,Ability Upgrade,150,,4,3,A magical ring crafted from a fallen meteorite.,257
1,Golden Sigil Ring of Dwarves,Ability Upgrade,275,,4,4,Specially crafted by the craftsmen in Mirabar as a peace offering to Clan Battlehammer.,258
1,Dented Shield,Ultimate Boost,25,,5,1,Looks like someone took a warhammer to this.,259
1,Heavy Shield,Ultimate Boost,87.5,,5,2,"If you can get it up in time, it'll do the job.",259
1,Strong Shield,Ultimate Boost,150,,5,3,It's strong enough to stop a blow from a raging giant.,260
1,Shield of Foaming Ale,Ultimate Boost,275,,5,4,A magical shield with secret and mysterious powers.,261
1,Broken Helm,Reduces Ultimate Cooldown,2,,6,1,"To be fair, I think it's supposed to be broken.",254
1,Scuffed Helm,Reduces Ultimate Cooldown,3,,6,2,Someone needs to get some spit and polish on this thing.,254
1,Mithral Helm,Reduces Ultimate Cooldown,6,,6,3,"Stronger than steel, and far lighter.",255
1,Gilded Helm of Clan Battlehammer,Reduces Ultimate Cooldown,15,,6,4,This helm has seen Bruenor through a hundred sticky situations.,253
2,Iron Headband,All Champion Damage Boost,10,,1,1,An understated headband with a small blue gem.,292
2,Silver Headband,All Champion Damage Boost,65,,1,2,A scuffed headband with brilliant potential.,292
2,Gold Headband,All Champion Damage Boost,120,,1,3,A complex headband composed of dozens of golden leaves.,293
2,Ornate Headband of Faith,All Champion Damage Boost,230,,1,4,A golden headband inlaid with a brilliant blue sapphire.,294
2,Cloth Gauntlets,All Champion Damage Boost,10,,2,1,"They'll keep the dust off my hands, at least.",289
2,Leather Gauntlets,All Champion Damage Boost,65,,2,2,The inside is padded to protect against bumps and bruises.,289
2,Golden Gauntlets,All Champion Damage Boost,120,,2,3,Masterfully crafted to fit my hands precisely.,290
2,Scale Gauntlets of Selûne,All Champion Damage Boost,230,,2,4,The small inlaid sapphires - tears of Selûne herself - empower myself and my allies.,291
2,Cloth Belt,Ability Upgrade,25,,3,1,A basic belt from a simpler time in my life.,283
2,Soft Belt,Ability Upgrade,87.5,,3,2,Given to me by a sister cleric on my first day of worship at the temple.,283
2,Thick Scalemail Belt,Ability Upgrade,150,,3,3,This belt has saved my life in battle many times.,284
2,Obsidian Scale Belt of the Moon,Ability Upgrade,275,,3,4,The texture of this belt matches exactly the face of the goddess above.,285
2,Iron Amulet,Ability Upgrade,25,,4,1,Commonly carried by many of Selûne's acolytes.,280
2,Steel Amulet,Ability Upgrade,87.5,,4,2,A more durable form of a commonly carried amulet.,280
2,Copper Amulet,Ability Upgrade,150,,4,3,"Often mistaken for gold, this amulet shines nearly as bright.",281
2,Golden Amulet of the Goddess,Ability Upgrade,275,,4,4,One of the few relics recovered from Shadowmantle's undead horde.,282
2,Cloth Boots,Ultimate Boost,25,,5,1,"Comfortable, but not ideal for long journeys such as this one.",286
2,Smooth Leather Boots,Ultimate Boost,87.5,,5,2,"Durable and soft, these boots can last a lifetime if properly cared for.",286
2,Chainmail Boots,Ultimate Boost,150,,5,3,"Not the stealthiest boot, but then stealth was never my style.",287
2,Well Fitted Boots of Fellowship,Ultimate Boost,275,,5,4,One of Selûne's skilled followers crafted these for me after I saved them.,288
2,Faded Holy Symbol,Reduces Ultimate Cooldown,5,,6,1,"Though old, this item still holds a dear place in my heart.",295
2,Understated Holy Symbol,Reduces Ultimate Cooldown,9,,6,2,Never underestimate the wrath of an angry goddess.,295
2,Ornate Holy Symbol,Reduces Ultimate Cooldown,18,,6,3,A fine tribute to the true goddess of the night sky.,296
2,Holy Symbol of Selûne's Grace,Reduces Ultimate Cooldown,45,,6,4,Bestowed upon me by the goddess herself in my greatest time of need.,297
3,Faded Figurine,All Champion Damage Boost,10,,1,1,A faded owl motif. Someday I'll tell you the story of it.,376
3,Hunting Figurine,All Champion Damage Boost,65,,1,2,A magical item used to hunt down those who have done wrong.,376
3,Detailed Owl Figurine,All Champion Damage Boost,120,,1,3,A brilliant serpentine owl figurine imbued with magical power.,377
3,Figurine Of Wondrous Power,All Champion Damage Boost,230,,1,4,A wondrous item that grants me the power to track down those I've sworn vengeance against.,378
3,Tarnished Breastplate,Increases Health,25,,2,1,"It's starting to rust, but it can still take a few good blows.",370
3,Iron Breastplate,Increases Health,87.5,,2,2,"A sturdy breastplate. Well enough to deliver evenhanded justice in, at least.",370
3,Ornate Breastplate,Increases Health,150,,2,3,"A fine breastplate, crafted using a special steel alloy known only to a few.",371
3,Breastplate of the Devoted Champion,Increases Health,275,,2,4,"It borders on gaudy, but you can't deny its raw power.",372
3,Heavy Chainmail Shirt,Ability Upgrade,25,,3,1,"It restricts my movement, but not enough to hinder the Maimed God's justice.",373
3,Fine Chainmail Shirt,Ability Upgrade,87.5,,3,2,"As fine a shirt as you could expect to find, from a common merchant.",373
3,Dwarven Mithral Shirt,Ability Upgrade,150,,3,3,Even dwarven folk can appreciate the need for Tyr's justice.,374
3,Finely Crafted Scalemail of Justice,Ability Upgrade,275,,3,4,"Gifted to me by Lord Maldwyn, shortly before... I'd rather not talk about it.",375
3,Basic Gauntlets,Ability Upgrade,25,,4,1,Your run of the mill plate gauntlets.,379
3,Sturdy Gauntlets,Ability Upgrade,87.5,,4,2,"They won't budge in battle, and with a sturdy wrist will deflect all but the strongest attack.",379
3,Paladin's Gauntlets,Ability Upgrade,150,,4,3,A finely crafted gauntlet worn by many Paladins throughout the land.,380
3,Gauntlets of Sworn Vengeance,Ability Upgrade,275,,4,4,Pristine scalemail gauntlets that give my blows a little extra oomph.,381
3,Simple Holy Symbol,Ultimate Boost,25,,5,1,The symbol of Tyr strikes fear into evil-doers everywhere.,382
3,Polished Holy Symbol,Ultimate Boost,87.5,,5,2,This symbol has been meticulously cared for over the years. A great sign of respect.,382
3,Devoted Holy Symbol,Ultimate Boost,150,,5,3,The Lord of Justice himself blessed this necklace.,383
3,Extravagant Symbol of Tyr,Ultimate Boost,275,,5,4,I've devoted my life to justice for all in Tyr's name.,384
3,Dull Iron Greatsword,Reduces Ultimate Cooldown,3,,6,1,"A trainee's sword, but in the right hands, it can still do damage.",385
3,Sharp Steel Greatsword,Reduces Ultimate Cooldown,6,,6,2,Crafted by the finest smithy in Daggerford.,385
3,Strong Magical Greatsword,Reduces Ultimate Cooldown,12,,6,3,"This sword vanquishes all foes, whether or not they come from this plane.",386
3,Blessed Sword of Tyr,Reduces Ultimate Cooldown,30,,6,4,The Lord of Justice blessed this sword and my mission on his behalf.,387
4,Common Rapier,Self Damage Boost,50,,1,1,"Good enough for the common folk, but I'll soon be upgrading, I assure you.",328
4,Well Balanced Rapier,Self Damage Boost,125,,1,2,"You can't be very effective with an unbalanced sword, you know!",328
4,Majestic Rapier,Self Damage Boost,200,,1,3,There's nothing quite so elegant or majestic as a finely crafted rapier.,329
4,Swashbuckling Rapier of Last Resort,Self Damage Boost,350,,1,4,"When you need to put on a show, a rapier will often do the trick.",330
4,Effective Eye Patch,Self Damage Boost,50,,2,1,"It does the job, but not much more.",322
4,Stylish Eye Patch,Self Damage Boost,125,,2,2,Now that's a swashbuckling look!,322
4,Enhanced Eye Patch,Self Damage Boost,200,,2,3,"I've got a few more tricks up my sleeve. Or over my eye, rather.",323
4,Knave's Eye Patch,Self Damage Boost,350,,2,4,You can't hide from my magical eye... patch.,324
4,Faux Feathered Hat,Ability Upgrade,25,,3,1,It's not a real feather at all! Why would someone do this?,325
4,Gull Feathered Hat,Ability Upgrade,87.5,,3,2,"A decent enough feather, I suppose. In a pinch.",325
4,Velvet Feathered Hat,Ability Upgrade,150,,3,3,"It's a pleasure to wear, though not for my enemies.",326
4,Magical Diatryma Feathered Hat,Ability Upgrade,275,,3,4,You don't want to mess with this feather.,327
4,Faded Cloak,Ability Upgrade,25,,4,1,A quick dip in an enchanted underdark pool aught to brighten this right up.,319
4,Brightly Colored Cloak,Ability Upgrade,87.5,,4,2,A useful distraction if you want your foes to see your cloak and not yourself.,319
4,Lesser Piwafwi Cloak,Ability Upgrade,150,,4,3,"It has some use, but it could be so much more.",320
4,Many-hued Piwafwi Cloak,Ability Upgrade,275,,4,4,"With this cloak, I am all but invisible.",321
4,Dented Iron Ring,Ultimate Boost,25,,5,1,"It once had magical powers, but now it's just an old piece of metal.",331
4,Scuffed Steel Ring,Ultimate Boost,87.5,,5,2,Rub it three times and a genie pops out. Aha! Gotcha! So gullible.,331
4,Ring of Power,Ultimate Boost,150,,5,3,"But what power, you ask? I'll never tell.",332
4,Ornate Ring of Foresight,Ultimate Boost,275,,5,4,"If I know where my enemies will be, they're that much easier to hit.",333
4,Simple Spurs,Reduces Ultimate Cooldown,8,,6,1,"A simple accessory, but quite useful in the right situation.",316
4,Dull Steel Spurs,Reduces Ultimate Cooldown,15,,6,2,Remind me sometime to tell you the story of how I came into possession of these.,316
4,Shiny Mithral Spurs,Reduces Ultimate Cooldown,30,,6,3,"Dirty dwarven metal, sure, but you can't deny the craftsmanship.",317
4,Masterful Golden Spurs,Reduces Ultimate Cooldown,75,,6,4,A stylish addition to any outfit!,318
5,Simple Crossbow Bolt,All Champion Damage Boost,10,,1,1,"It doesn't have to be fancy, but it will be messy.",271
5,Sharpened Crossbow Bolt,All Champion Damage Boost,65,,1,2,You don't want to be on the receiving end of this.,271
5,Broadhead Crossbow Bolt,All Champion Damage Boost,120,,1,3,It nearly doesn't fit in my lute!,272
5,Expertly Fletched Crossbow Bolt,All Champion Damage Boost,230,,1,4,"You really have to jam it in there, but it hurts when it comes out.",273
5,Untuned Lute,All Champion Damage Boost,10,,2,1,"It sounds terrible, so what'll you give me to stop playing?",277
5,Partially Tuned Lute,All Champion Damage Boost,65,,2,2,"I've heard better, but it's a good focus for my songs and spells.",277
5,Whitewood Lute,All Champion Damage Boost,120,,2,3,Sturdy instruments are key to constant paydays.,278
5,Ornate Lute of Ballads,All Champion Damage Boost,230,,2,4,"Hey, are you even listening to me? Argh! That's it...!",279
5,Rough Cloak,Ability Upgrade,25,,3,1,"It's a little scratchy, but it keeps me warm.",268
5,Bard's Cloak,Ability Upgrade,87.5,,3,2,Your average bard's cloak. Good for blending into crowds... of bards.,268
5,Triple-Clasped Cloak,Ability Upgrade,150,,3,3,The only way this thing comes flying off in combat is if I'm feeling especially fabulous.,269
5,Stealthy Performer's Cloak,Ability Upgrade,275,,3,4,"You wouldn't think a bright red cloak could be stealthy, but here we are.",270
5,Soft Leather Bracers,Ability Upgrade,25,,4,1,"Comfortable, but not much help in combat.",265
5,Stiff Hide Bracers,Ability Upgrade,87.5,,4,2,"You could deflect a dull sword with these, if you're quick enough, which I am.",265
5,Studded Leather Bracers,Ability Upgrade,150,,4,3,Some of the best wrist-based protection a girl can ask for.,266
5,Fingerless Bracers of the Foul Mouth,Ability Upgrade,275,,4,4,"I know what you're thinking: aren't all bracers fingerless? Yeah, well... Shut up.",267
5,Patched Bag,Ability Upgrade,25,,5,1,"You can't see it, but this thing is barely holding together.",262
5,Sturdy Leather Bag,Ability Upgrade,87.5,,5,2,It's holding knick-knacks from dozens of passed out pirates. They won't miss 'em.,262
5,Magically Enhanced Satchel,Ability Upgrade,150,,5,3,Touch the gem in the wrong way and boom! Hope you weren't too attached to that hand.,263
5,Leather Satchel of the Wanderer,Ability Upgrade,275,,5,4,"I've seen plenty of the world, but I'm more than happy to see more of it.",264
5,Dusty Eyepatch,Reduces Ultimate Cooldown,5,,6,1,"It's a little irritating, but it's stylish.",274
5,Soft Cloth Eyepatch,Reduces Ultimate Cooldown,9,,6,2,A pleasure to wear - it's like a blanket for my eye!,274
5,Sturdy Leather Eyepatch,Reduces Ultimate Cooldown,18,,6,3,A sturdy accessory that aids in my night time adventures.,275
5,Magical Eyepatch of the Bard,Reduces Ultimate Cooldown,45,,6,4,"Oh, you want to know what my magical eyepatch does? Get in line, sailor.",276
6,Simple Jade Spear,Self Damage Boost,50,,1,1,The tip isn't as fragile as it looks.,238
6,Sharp Jade Spear,Self Damage Boost,125,,1,2,Crafted by the finest Aarakocra smiths in Kir Sabal.,238
6,Magical Jade Spear,Self Damage Boost,200,,1,3,Imbued with magical power by the wizards of Kir Sabal.,239
6,Ornate Jade Spear of the Mind,Self Damage Boost,350,,1,4,The finest spear I've seen in all my years protecting the skies of Chult.,240
6,Orb of Breezes,Self Damage Boost,50,,2,1,This orb causes the air around you to shift and swirl.,241
6,Orb of Gusts,Self Damage Boost,125,,2,2,This orb causes the air around you to gust and blow your robes.,241
6,Orb of Squalls,Self Damage Boost,200,,2,3,"This orb causes a strong wind to swirl past you, making footing difficult.",242
6,Hurricane Orb of Storms,Self Damage Boost,350,,2,4,"Without proper discipline, this orb could cause you to be swept off your feet.",243
6,Pilling Robe,All Champion Damage Boost,10,,3,1,This robe has clearly seen better days.,235
6,Long Robe,All Champion Damage Boost,65,,3,2,"This robe fits perfectly, and flutters about pleasingly as you fly.",235
6,Golden Robe,All Champion Damage Boost,120,,3,3,A golden robe with light colors and brilliant golden cloud motifs.,236
6,Swirling Robe of Gusting Wind,All Champion Damage Boost,230,,3,4,"This robe seems to have a mind of its own, swirling about you even when the wind is calm.",237
6,Simple Pouch,Ability Upgrade,25,Increases the effect of Asharra's Bond abilities by $(amount)%.,4,1,A simple pouch for storing spell components and trinkets.,232
6,Dual Cloth Pouches,Ability Upgrade,87.5,Increases the effect of Asharra's Bond abilities by $(amount)%.,4,2,Twice the storage potential compared to single pouches!,232
6,Hardened Leather Pouch,Ability Upgrade,150,Increases the effect of Asharra's Bond abilities by $(amount)%.,4,3,A well loved pouch that I'd guess belonged to a lesser Aarakocra priest or cleric.,233
6,Bottomless Pouch of Components,Ability Upgrade,275,Increases the effect of Asharra's Bond abilities by $(amount)%.,4,4,The components for nearly any spell you could imagine can be found in these pouches.,234
6,Common Aarakocra Necklace,Ultimate Boost,25,,5,1,A common necklace worn by the Aarakocra residents of Kir Sabal.,229
6,Scuffed Aarakocra Necklace,Ultimate Boost,87.5,,5,2,"This necklace has seen combat, but is still holding together well. It must be lucky!",229
6,Jeweled Aarakocra Necklace,Ultimate Boost,150,,5,3,This fine necklace obviously belonged to a powerful Aarakocra at some point in the past.,230
6,Masterfully Crafted Aarakocra Necklace,Ultimate Boost,275,,5,4,The craftsmanship on this necklace puts all others to shame.,231
6,Brass Armlet,Reduces Ultimate Cooldown,11,,6,1,"A simple armlet, but good enough for the time being.",226
6,Polished Armlet,Reduces Ultimate Cooldown,21,,6,2,A well loved armlet that its previous owner obviously adored.,226
6,Jeweled Copper Armlet,Reduces Ultimate Cooldown,42,,6,3,A shiny armlet with what looks like a small citrine or amber set in it.,227
6,Magnificent Golden Armlet of Focus,Reduces Ultimate Cooldown,105,,6,4,A beautiful golden armlet set with a shining fire opal.,228
7,Chipped Greatsword,Self Damage Boost,50,,1,1,Here's a tip for any adventurer: swords don't do so well against enemies made entirely of diamond.,367
7,Well Used Greatsword,Self Damage Boost,125,,1,2,Minsc has had this old blade nearly as long as he's been adventuring with Boo.,367
7,Sharp Greatsword,Self Damage Boost,200,,1,3,Minsc just got this sharpened by a smithy in Baldur's Gate. Good fellow. Cheap.,368
7,Grand Greatsword of Furious Blows,Self Damage Boost,350,,1,4,"Evil, meet my sword! Sword, meet evil!",369
7,Basic Leather Vest,Self Damage Boost,50,,2,1,"Less vest, more buttkicking!",364
7,Smooth Leather Vest,Self Damage Boost,125,,2,2,"Smooth like a miniature giant space hamster's bottom! Smells like one, too!",364
7,Reinforced Leather Vest,Self Damage Boost,200,,2,3,"It's got holes for Minsc's extremely large biceps, so Minsc is a fan!",365
7,Padded Leather Vest of Hamster Perches,Self Damage Boost,350,,2,4,Boo! Are you comfortable up there?,366
7,Cheap Iron Bracers,All Champion Damage Boost,10,,3,1,"They may be cheap, but they do keep Minsc from lopping his own hands off.",358
7,Dull Iron Bracers,All Champion Damage Boost,65,,3,2,"Hey, who are you calling dull?! Oh, the bracers. Yeah, they're pretty dull.",358
7,Full Iron Bracers,All Champion Damage Boost,120,,3,3,This reminds Minsc of a time... never mind.,359
7,Padded Iron Bracers of Comfort,All Champion Damage Boost,230,,3,4,Adventuring is quite exciting - at least until it's not. Then you need to be comfortable.,360
7,Faded Purple Cloak,Ability Upgrade,25,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,1,It could use a little more color. Minsc knows a fellow in Waterdeep...,361
7,Smooth Purple Cloak,Ability Upgrade,87.5,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,2,A decent enough cloak. If you're into normal things like that.,361
7,Purple Velvet Cloak,Ability Upgrade,150,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,3,"Oh! It's so soft! Don't even think about stealing it to nest in, Boo!",362
7,Silken Cloak of the Beloved Ranger,Ability Upgrade,275,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,4,"Minsc saves some king's daughter, and this is all he gets? Barely worth it!",363
7,Fraying Belt,Ultimate Boost,25,,5,1,"Perhaps you will upgrade this belt the next time you are in town, yes?",352
7,Loose Belt,Ultimate Boost,87.5,,5,2,A good belt for long nights at the all-you-can-eat tavern!,352
7,Tight Leather Belt,Ultimate Boost,150,,5,3,"It's important to keep your pants up, lest boo bite you in hard to reach places.",353
7,Comfortable Belt of Destruction,Ultimate Boost,275,,5,4,"Go for the belt, Boo! Go for the belt!",354
7,Simple Ranger Boots,Reduces Ultimate Cooldown,5,,6,1,You don't need fancy boots to kick some bad guy butt!,355
7,Smooth Studded Boots,Reduces Ultimate Cooldown,9,,6,2,They've got good traction if we ever head up north to Icewind Dale.,355
7,Solid Plate Boots,Reduces Ultimate Cooldown,18,,6,3,"Solid buttkicking soles! Good find, Boo!",356
7,Buttkicking Boots of Wrath,Reduces Ultimate Cooldown,45,,6,4,Some of these enemies need a swift kick in the morals!,357
8,Dull Iron Dagger,Self Damage Boost,50,,1,1,"I prefer to stick to my magic, but in a pinch, I can use this.",310
8,Cutpurse's Dagger,Self Damage Boost,125,,1,2,I borrowed this from a cutpurse in Baldur's Gate who thought he could steal from me.,310
8,Sharp Steel Dagger,Self Damage Boost,200,,1,3,"I don't like to resort to violence, but if I have to, this'll do.",311
8,Ruby Focused Dagger of Danger,Self Damage Boost,350,,1,4,"In a pinch, I can channel my spells through the ruby on this dagger.",312
8,Pilfered Memento,Self Damage Boost,50,,2,1,"Some trinket? It doesn't interest me, but it has some power within.",298
8,Follower's Necklace,Self Damage Boost,125,,2,2,This belonged to an acolyte of the Cult of the Dragon.,298
8,Master's Necklace,Self Damage Boost,200,,2,3,"Someone of great power wore this necklace. But they're gone, and I'm still here.",299
8,Dragon Cult Leader's Necklace,Self Damage Boost,350,,2,4,"My twin brother's necklace. It's a long story, and I'd rather not get into it.",300
8,Basic Orb,All Champion Damage Boost,10,,3,1,Very similar to the first focus given to me by my teacher.,301
8,Hovering Orb,All Champion Damage Boost,65,,3,2,Getting your focus to hover in your hand is the first task assigned to novice sorcerers.,301
8,Charged Orb,All Champion Damage Boost,120,,3,3,Channeling the Weave into your focus allows you to charge your spells.,302
8,Magical Orb of Elvenkind,All Champion Damage Boost,230,,3,4,This magical artifact has been passed down through generations of elves.,303
8,Loose Belt,Ability Upgrade,25,,4,1,More of a style piece than actually functional.,304
8,Simple Leather Belt,Ability Upgrade,87.5,,4,2,A simple enough belt. The sheath has a few holes in it.,304
8,Fine Belt and Sheath,Ability Upgrade,150,,4,3,A fine gift from a young human who once fancied me.,305
8,Golden Wayfarer's Belt of Adventure,Ability Upgrade,275,,4,4,I'm always up for an adventure! The more dangerous the better!,306
8,Ratty Cape,Ability Upgrade,25,,5,1,A simple sorcerer's cape with more than a few holes.,307
8,Smooth Cape,Ability Upgrade,87.5,,5,2,Someone has recently cleaned the cape. It wasn't me!,307
8,High Collared Cape,Ability Upgrade,150,,5,3,I look like quite the mature and knowledgeable elf wearing this. Little do they know.,308
8,Empowered Cape of Protection,Ability Upgrade,275,,5,4,"It may look flimsy, but I can shrug off most attacks wearing this.",309
8,Scratchy Robes,Reduces Ultimate Cooldown,6,,6,1,"I can't believe anyone would wear these! Better than nothing, I guess.",313
8,Comfortable Robes,Reduces Ultimate Cooldown,12,,6,2,"Hey, these are actually pretty comfy! Good find!",313
8,Masterful Silken Robe,Reduces Ultimate Cooldown,24,,6,3,I've been searching for the master who crafted this for years. It's wondrous!,314
8,Swirling Patterned Robe of Sorcery,Reduces Ultimate Cooldown,60,,6,4,My spells are empowered when I wear this cape. Not that they need to be.,315
9,Necklace of Sparks,Self Damage Boost,50,,1,1,"A few sparks are a beginning, but they're certainly not an end.",346
9,Necklace of Flickers,Self Damage Boost,125,,1,2,We're going to need to do better than this.,346
9,Necklace of Flame,Self Damage Boost,200,,1,3,Where there's smoke...,347
9,Golden Necklace of Fireballs,Self Damage Boost,350,,1,4,This ought to draw their attention.,348
9,Suspicious Dagger,Self Damage Boost,50,,2,1,There's something a little off about this dagger.,343
9,Evil Dagger,Self Damage Boost,125,,2,2,"Yeah, this dagger is clearly evil. But it does my bidding, so it's not all bad.",343
9,Twisted Dagger Focus,Self Damage Boost,200,,2,3,Allows me to focus my fiendish magic.,344
9,Demonic Focus of Infernal Power,Self Damage Boost,350,,2,4,I'll do whatever it takes to achieve my goals.,345
9,Small Cloth Pouch,All Champion Damage Boost,10,,3,1,Holds enough components for a few hours of intense spellcasting.,340
9,Stitched Leather Pouch,All Champion Damage Boost,65,,3,2,There's a hidden compartment in the back for even more components.,340
9,Dyed Leather Pouch,All Champion Damage Boost,120,,3,3,"Finding black leather dye is extremely difficult. Luckily, I know a Fiend or two.",341
9,Gilded Demon Hide Pouch,All Champion Damage Boost,230,,3,4,Demon hide is especially rare. They generally don't like to give it up.,342
9,Torn Cape,Ability Upgrade,25,,4,1,They... they tore my cape! The nerve!,337
9,Dark Cape,Ability Upgrade,87.5,,4,2,"I'm really still quite evil, once you get to know me.",337
9,Magnificent Cape,Ability Upgrade,150,,4,3,"Magnificent, much like myself!",338
9,Exquisite Cape of Souls,Ability Upgrade,275,,4,4,"Don't worry, they weren't very nice souls to begin with.",339
9,Basic Warlock's Robe,Ultimate Boost,25,,5,1,This has no real value to me. I've grown so far beyond its meager power.,349
9,Apprentice's Robe,Ultimate Boost,87.5,,5,2,A simple robe for a simple warlock. I've already outgrown it.,349
